formula_number,name,formula
0,Select Formula,0
2,Test Formula,(+0.00000000*x**0 -20.01995715*x**1 +0.00751695*x**2 + 1440.57783100)*1
1,EC (DFRobot EC Sensor),(1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/120)  ) / (1+0.0185*(CH2-25))
3,DO (DFRobot DO Sensor),x*  (13453.83275261 - 194.65505226*np.floor(CH0)) / (1175-195 + 35 * CH0 - 25.75 * 35) / 1000
4,pH (DFRobot pH Sensor),(7.0-4.0) / ( ( 1560 - 2057 ) / 3.0 ) * (x-1500)/3.0 + 7.0 - (7.0-4.0) / (( 1560 - 2057) /3.0)*(1560-1500)/3.0 -0.7*((3000-1500)/1500)
11,Light Intensity (LDR-based Sensor),+0.00000000*x**0 -23.81769328*x**1 +0.00919872*x**2 + 4980.98475938
5,Temperature (LM35DZ),x/10-4.75
10,Salinity (DFRobot),0.008 -0.1692*( (1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/220)  ) / (1+0.0185*(CH0-25))  / 42.914 )**(1/2) +25.3851*( (1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/220)  ) / (1+0.0185*(CH0-25))  / 42.914 )**1 +14.0941*( (1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/220)  ) / (1+0.0185*(CH0-25))  / 42.914 )**(3/2) -7.0281*( (1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/220)  ) / (1+0.0185*(CH0-25))  / 42.914 )**2 +2.7081*( (1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/220)  ) / (1+0.0185*(CH0-25))  / 42.914 )**(5/2) +((CH0-15)/(1+0.0162*(CH0-15)))*(0.0005-0.0056*( (1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/220)  ) / (1+0.0185*(CH0-25))  / 42.914 )**(1/2) -0.006*( (1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/220)  ) / (1+0.0185*(CH0-25))  / 42.914 )**2 -0.0375*( (1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/220)  ) / (1+0.0185*(CH0-25))  / 42.914 )**(3/2) +0.0636*( (1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/220)  ) / (1+0.0185*(CH0-25))  / 42.914 )**2-0.0144*( (1000*x/820/200 * ( 820*200*( 12.8*(1+0.0185*(21.9-25)) )/1000/220)  ) / (1+0.0185*(CH0-25))  / 42.914 )**(5/2) )
22,new pH calibration,(7.0-4.0) / ( ( 1516.05 - 2011.15 ) / 3.0 ) * (x-1500)/3.0 + 7.0 - (7.0-4.0) / (( 1516.05 - 2011.15 ) /3.0)*(1516.05 -1500)/3.0
23,New Temperature Calibration,-113.29057071 + 24.40317104 * np.log(x)
24,Temperature Sim,28*x
25,DO Sim,7*x
26,pH Sim,7.9*x
27,PSU Sim,35.1*x
28,Light Intensity Sim,74357*x
